 ,World Rank,Institution,Location,National_Rank,Quality_of_Education,Alumni_Employment,Quality_of_Faculty,Research_Performance,Score
154,155,Queen Mary University of London,United Kingdom,17,112.0,734.0,142.0,164.0,79.9
155,156,University of Massachusetts Amherst,USA,62,473.0,264.0,63.0,209.0,79.8
157,158,Technion – Israel Institute of Technology,Israel,4,114.0,332.0,64.0,239.0,79.8
158,159,Stockholm University,Sweden,5,277.0,366.0,99.0,177.0,79.7
159,160,McMaster University,Canada,6,418.0,743.0,217.0,127.0,79.7
168,169,University of Gothenburg,Sweden,6,402.0,409.0,146.0,174.0,79.5
172,173,Iowa State University,USA,65,346.0,194.0,156.0,198.0,79.4
174,175,University of Warwick,United Kingdom,18,427.0,193.0,220.0,166.0,79.3
176,177,Newcastle University,United Kingdom,19,465.0,518.0,160.0,176.0,79.3
177,178,Norwegian University of Science and Technology,Norway,2,249.0,429.0,57.0,267.0,79.2
179,180,University of Kansas,USA,66,261.0,390.0,97.0,224.0,79.2
180,181,University of Lausanne,Switzerland,7,232.0,761.0,116.0,204.0,79.2
182,183,Arizona State University,USA,67,419.0,650.0,257.0,141.0,79.1
185,186,Brandeis University,USA,69,29.0,233.0,39.0,588.0,79.0
186,187,Wageningen University & Research,Netherlands,8,414.0,860.0,206.0,160.0,79.0
189,190,North Carolina State University,USA,70,382.0,411.0,182.0,187.0,78.9
190,191,Chinese University of Hong Kong,China,12,406.0,1230.0,242.0,155.0,78.9
191,192,University of Münster,Germany,12,429.0,768.0,190.0,178.0,78.9
192,193,Lomonosov Moscow State University,Russia,1,95.0,342.0,192.0,223.0,78.9
193,194,University of Cologne,Germany,13,510.0,267.0,204.0,191.0,78.8
199,200,Technical University of Denmark,Denmark,3,368.0,701.0,187.0,188.0,78.7
200,201,University of Georgia,USA,73,392.0,325.0,173.0,212.0,78.7
201,202,University of Würzburg,Germany,14,151.0,985.0,228.0,193.0,78.6
205,206,University of Lisbon,Portugal,1,432.0,1142.0,234.0,173.0,78.6
206,207,University of Missouri–Columbia,USA,74,423.0,259.0,86.0,286.0,78.5
207,208,Kiel University,Germany,16,343.0,961.0,139.0,228.0,78.5
208,209,University of Vienna,Austria,1,159.0,479.0,155.0,244.0,78.5
209,210,University of Illinois at Chicago,USA,75,476.0,809.0,269.0,159.0,78.5
210,211,Université libre de Bruxelles,Belgium,4,435.0,289.0,168.0,234.0,78.4
211,212,University of Reading,United Kingdom,20,105.0,102.0,101.0,374.0,78.4
212,213,Trinity College Dublin,Ireland,1,201.0,85.0,238.0,283.0,78.4
215,216,Hokkaido University,Japan,9,347.0,298.0,161.0,245.0,78.3
228,229,Complutense University of Madrid,Spain,3,191.0,137.0,215.0,273.0,78.1
235,236,University of Sussex,United Kingdom,23,106.0,438.0,81.0,350.0,77.9
251,252,Colorado State University,USA,87,451.0,1243.0,205.0,248.0,77.6
259,260,University of Aberdeen,United Kingdom,24,275.0,654.0,154.0,301.0,77.5
260,261,University of Manitoba,Canada,11,319.0,251.0,196.0,292.0,77.4
268,269,University of Genoa,Italy,9,508.0,1172.0,225.0,261.0,77.3
269,270,Oregon State University,USA,89,227.0,537.0,226.0,274.0,77.3
280,281,University of Lorraine,France,16,518.0,421.0,171.0,307.0,77.1
283,284,National Autonomous University of Mexico,Mexico,1,394.0,1410.0,241.0,268.0,77.0
296,297,University of Pavia,Italy,10,371.0,750.0,215.0,294.0,76.8
300,301,Queen's University,Canada,13,505.0,420.0,203.0,310.0,76.7
302,303,University of Delaware,USA,103,373.0,668.0,161.0,332.0,76.7
315,316,London School of Economics and Political Science,United Kingdom,28,248.0,79.0,253.0,428.0,76.5
329,330,University of Dundee,United Kingdom,30,492.0,1097.0,147.0,401.0,76.3
335,336,Polytechnic University of Milan,Italy,12,356.0,457.0,193.0,373.0,76.2
336,337,University of St Andrews,United Kingdom,31,296.0,754.0,224.0,352.0,76.2
354,355,University of Parma,Italy,14,300.0,897.0,90.0,483.0,75.9
389,390,"University at Albany, SUNY",USA,115,216.0,787.0,208.0,443.0,75.5
477,478,University of Hull,United Kingdom,36,190.0,260.0,135.0,676.0,74.4
497,498,"Royal Holloway, University of London",United Kingdom,37,393.0,921.0,213.0,541.0,74.2
498,499,University of Canterbury,New Zealand,3,336.0,384.0,230.0,550.0,74.2
537,538,University of Graz,Austria,7,375.0,1151.0,157.0,659.0,73.8
579,580,Moscow Institute of Physics and Technology,Russia,8,158.0,542.0,264.0,611.0,73.4
629,630,Binghamton University,USA,161,302.0,374.0,153.0,837.0,72.9
700,701,Bangor University,United Kingdom,49,200.0,843.0,247.0,744.0,72.3
832,833,University of Wrocław,Poland,5,464.0,1332.0,252.0,856.0,71.4
1066,1067,University of Calcutta,India,19,522.0,575.0,245.0,1147.0,69.9
